NAME,% Graduated in 4 Years,% Grade Nine Passing All Courses,Median Household Income ,% With No Internet Access at Home
Quabbin School District,83,47.7,95538,0.073500967
Spencer-East Brookfield School District,79.8,47.7,78859,0.079139073
Southwick-Tolland-Granville Regional School District,91,92,105848,0.084839464
Manchester Essex Regional School District,98.4,100,176161,0.009861933
Ayer-Shirley School District,88.9,92.1,111050,0.080730897
Monomoy Regional School District,90.9,85.8,87553,0.042638948
Abington School District,88.9,76.4,119787,0.030754893
Acton-Boxborough Regional School District,96.1,97.6,152908,0.025143869
Hoosac Valley School District,88.7,63.1,60747,0.128888094
Agawam School District,88,76.4,82359,0.073354817
Amesbury School District,88.3,79.6,100599,0.031941683
Andover School District,96.3,95.9,167591,0.018224264
Arlington School District,95.6,95.6,141440,0.040497658
Ashburnham-Westminster School District,96.4,93,104602,0.016876888
Ashland School District,96.2,92.6,127106,0.031295392
Athol-Royalston School District,84.5,65.5,67444,0.056506849
Attleboro School District,90.8,89.8,93266,0.080422923
Auburn School District,97.4,88.5,100786,0.075868106
Avon School District,95.5,77.8,129487,0.056991774
Barnstable School District,84.9,74,97348,0.035170273
Bedford School District,98,96,158964,0.025357944
Belchertown School District,91.8,86.4,99089,0.016695272
Bellingham School District,91.6,85.9,120966,0.027667356
Belmont School District,95.4,97.5,178188,0.034755744
Berkshire Hills School District,90.1,86.2,84824,0.04981203
Berlin-Boylston School District,91.2,100,124071,0.033441847
Beverly School District,93.3,79.7,103739,0.071238546
Billerica School District,92.6,83.8,139706,0.035520348
Blackstone-Millville School District,89.3,92.6,101641,0.030437295
Boston School District,80.5,66.3,94755,0.069544725
Bourne School District,91.5,84.7,95349,0.017492711
Braintree School District,94.5,100,125305,0.033544878
Bridgewater-Raynham School District,93.4,90.6,113601,0.056367569
Brockton School District,74.2,43.6,77089,0.087026116
Brookline School District,95.9,92.2,140631,0.028041161
Burlington School District,94.8,94.3,142207,0.028042959
Cambridge School District,91.5,88.4,126469,0.030690434
Canton School District,94.6,96.6,128341,0.045675313
Carver School District,91.6,80.5,78955,0.057480981
Central Berkshire School District,94,85.6,83393,0.067874069
Chelmsford School District,94.4,95,140519,0.029119739
Chelsea School District,64.1,47.1,72220,0.118111981
Chicopee School District,86.9,64.2,66927,0.09837963
Clinton School District,89.7,82.2,93849,0.039921957
Cohasset School District,97.4,99.1,187060,0.008362818
